Sample ID;1D_11;1D_12;1D_13;1D_14;1W_10;1W_7;1W_8;1W_9;2D_19;2D_20;2D_21;2D_22;2W_15;2W_16;2W_17;2W_18;3D_27;3D_28;3D_29;3D_30;3W_23;3W_24;3W_25;3W_26;4D_35;4D_36;4D_37;4D_38;4W_31;4W_32;4W_33;4W_34;5D_43;5D_44;5D_45;5D_46;5W_39;5W_40;5W_41;5W_42;6D_51;6D_52;6D_53;6D_54;6W_47;6W_48;6W_49;6W_50;7D_59;7D_60;7D_61;7D_62;7W_55;7W_56;7W_57;7W_58;8D_67;8D_68;8D_69;8D_70;8W_63;8W_64;8W_65;8W_66;9D_75;9D_76;9D_77;9D_78;9W_71;9W_72;9W_73;9W_74;10D_83;10D_84;10D_85;10D_86;10W_79;10W_80;10W_81;10W_82;11D_91;11D_92;11D_93;11D_94;11W_87;11W_88;11W_89;11W_90;12D_100;12D_101;12D_102;12D_99;12W_95;12W_96;12W_97;12W_98;13D_107;13D_108;13D_109;13D_110;13W_103;13W_104;13W_105;13W_106
Treatment;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered;Drought;Drought;Drought;Drought;Watered;Watered;Watered;Watered
Time (days);1;1;1;1;1;1;1;1;2;2;2;2;2;2;2;2;3;3;3;3;3;3;3;3;4;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;6;6;6;6;6;6;6;6;7;7;7;7;7;7;7;7;8;8;8;8;8;8;8;8;9;9;9;9;9;9;9;9;10;10;10;10;10;10;10;10;11;11;11;11;11;11;11;11;12;12;12;12;12;12;12;12;13;13;13;13;13;13;13;13
2474;69498;50662;67690;62244;59665;60554;83337;76717;92340;142423;160703;109318;113090;109076;110719;112612;65783;69867;68390;87371;66666;84196;60654;115253;;76993;75837;91419;74036;89615;94684;87657;66800;81782;85852;62827;70760;58889;65952;70458;73835;85531;69044;80272;75135;82922;76447;85055;89813;91319;86010;75931;72038;78698;106817;82926;78592;70677;99574;84855;81728;116207;73524;75618;32257;83551;70986;78146;81083;78209;78144;55380;60346;117776;71771;109179;88864;88666;75708;65914;81185;108746;90607;76454;86517;82598;41218;64569;99934;107391;77814;81177;72683;64659;71667;93509;147980;144169;91484;218153;73939;83001;87125;77169
3202;2245;7956;6847;4492;7938;7672;19419;10209;;;0216;;;;;;2877;6579;7619;2442;14212;18527;6666;25314;;9312;5971;13293;15750;20333;15213;12400;10173;23576;16605;4051;17670;6799;16146;12711;10616;8919;9559;14421;16209;16850;10842;14001;5651;10294;7771;6663;4185;10395;17048;17237;7166;2722;8934;13951;12254;18981;9796;18136;6787;4947;12744;16340;11034;13689;6273;7278;12099;32955;11769;17549;30226;40783;20422;15333;27868;10311;11083;24425;17206;8074;4928;14574;5440;12617;11344;7582;6616;6349;20909;17090;8566;10414;2047;14849;5934;9291;8464;15558
3235;;;;0553;;0890;;;;1457;4749;;;;2243;;;;;;1259;1979;0117;2459;;;1511;2687;1661;1504;1363;;0799;;1870;;0951;0882;;1554;1225;1417;2155;1079;1546;1217;1775;;;1568;1233;;0553;0970;1927;2345;;0393;;1446;;2128;;0974;0563;;0979;1427;;;;;;3865;1540;1790;5611;2541;1968;0881;1473;1063;;1246;1052;2562;0495;;;1081;1010;;;;0946;1338;0997;;;1154;;;;
4549;136218;193827;95525;171190;131639;380251;279558;307693;6829;12753;9023;12595;12095;20498;9798;24388;320224;309801;298176;250977;195794;373585;310013;432950;;356357;399311;371231;548123;722200;595779;376386;432384;728261;521623;310007;267284;395749;635518;452723;360046;445741;478087;363789;412982;429256;410680;345728;433075;600926;454850;420082;344169;480029;748756;548137;389683;267101;369023;503195;368322;472432;338895;428061;229160;280386;444485;480438;368280;408153;350640;399481;469763;814578;426763;533818;738136;551316;481898;346911;492371;529314;495282;696997;371061;333194;231591;341252;346432;501344;333901;383109;323544;270562;369708;371333;727183;914412;333491;936805;313355;335442;325245;294540
Abscisic acid (ABA) ;0475;0192;0540;0650;0337;0461;0358;0805;1344;2227;1255;1312;2253;2116;2257;1522;0769;0676;0659;0742;0760;1318;0711;1103;;0868;0798;0734;0915;0972;1840;0892;1083;1291;0797;0671;0927;0390;1013;0892;0720;1078;1351;1520;0610;0785;1004;1158;0616;1759;1177;0660;0756;0671;0980;0777;0681;0707;1485;0568;1066;0955;0724;0662;0419;0526;0961;0497;0715;0632;0907;0475;0672;2258;0913;1600;1083;1968;0968;0714;0784;2023;1851;1589;0897;1224;0323;0856;1460;1088;1633;0571;0761;0435;0699;0737;9547;5296;1799;3962;0744;0755;0668;0610
Adenosine diriboside ;;4025;3490;0999;4168;1159;4883;2299;10418;15310;;5432;16169;2618;16442;14303;3166;2079;0403;4532;4487;3735;1991;3952;;3847;1148;0921;;3806;6497;3168;0906;4060;0376;2276;1712;;5468;3033;2546;1572;4421;;;3295;5851;4061;2045;;1685;4015;0490;1747;;5565;3185;2361;1660;;4308;3597;4205;3147;1623;4113;4103;2989;;3787;3090;;3511;2603;0276;3944;;4015;1871;;0355;4210;1685;3946;3419;5019;2168;3156;3167;2486;3486;2445;3546;2112;;2413;4208;1671;0359;1377;3149;0130;3783;
Agmatine ;67080;60860;67532;30494;13662;38285;37873;59935;9279;5628;1848;3381;8959;14538;21083;10822;16101;27531;43795;14448;33177;249644;47129;102809;;17922;12791;21525;32871;18735;12691;26082;12501;56541;22325;13901;20500;36359;28314;43001;9554;13447;16385;66880;65791;45528;24779;25615;4753;58602;33883;20037;59227;108917;99860;92250;81113;20318;102231;54514;92285;132137;55906;89822;22695;18716;78442;53010;36964;30112;51225;39615;66075;11728;19695;28767;270118;31306;21077;100826;49690;16760;37679;74989;21570;18833;18426;72341;26751;31691;70750;22366;22351;22687;84303;29950;56456;17995;37143;16472;17755;31368;21521;29239
Anth 1 ;1017;1430;1345;0896;1567;1956;2396;1939;1368;1626;3964;1873;1972;2105;2005;2619;1245;1339;1097;1051;2271;2350;1769;3011;;1334;1614;2505;2381;2657;0980;1530;1624;3493;1649;;1181;0773;;1537;1743;1655;1257;1828;1303;2213;1543;1315;0941;1963;1604;1224;1302;1471;1536;1800;1335;1451;1710;1932;1138;1948;0954;2439;1192;0945;1278;2001;1441;1043;1429;0966;1600;3595;1569;2908;1927;2038;1726;1025;2186;5474;3177;2999;1268;1269;0889;1618;2617;4177;1575;0950;1246;1022;1987;1103;15587;12297;2315;28685;1007;1597;1704;1484
Anth 2 ;;;;;;;;;;1587;2477;;;;;;;;;;;0027;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0828;;;;;;;;;;;;;;;0900;0680;0111;1045;;;;
Anth 3 ;;;;;;;;21422;;;;;;;;;;;;;;;;;;0060;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5055;;;;;0426;15200;3648;3875;;;;;1805;11124;0818;0152;;;;;43480;36049;4385;102344;;;;
Anth 4 ;;;;;;;;;;;;;;;;;;;;;;4107;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0143;;;;0023;;;;;;;;;;;;;;0872;;;;;;;2349;;;;;;;;1586;1254;0197;6102;0115;0128;0125;0152
Anth 5 ;;1482;;1273;;;1065;4167;;;;;;;;;;;;;;;;;;0689;;;;;;;;0186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3535;;;;;0267;3584;1120;1095;;;;;0819;2481;0572;0181;;;;;6211;4751;1203;12799;0278;;;
Anth 6 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2620;1071;;;;;;0687;1131;;;;;;;1574;2635;0388;9063;;;;
Anth 7 ;1800;1557;;;;;4504;29003;;;;;;;;;;;;;;2651;;4599;;;;;;;;;;;;;;;;;;;;0251;;;;;;;;;;;2280;;;;;4902;;;;1907;;;;;;;;;;1174;;7787;;;;;2752;19046;5479;2375;;;;;3358;8710;1254;1193;;;;;35114;68245;1960;105378;;;;
Anth 8 ;;1844;;;;;1590;;;;;;;;;;;;;;;;;2614;;;;;;;;;;1769;;;;;;;;;;;;;;;;;;;;;;;;;;;1817;;;;;;1803;;;;;;;;;;2305;;;;;4612;2028;1978;;;;;0854;1643;0272;0559;;;0744;;0625;1552;0389;4225;;;;
Anth 9 ;;7168;3209;1668;;;4013;1962;;;;;;;;;;;;;1662;1895;;2814;;;;;;;;;;;;;;;;;;;;;;3379;;;;1251;;;0807;2209;2106;;;;;;1237;;;;0132;;1741;;;0317;;;;2359;;0772;1825;;;;4503;11051;17663;3889;;;0566;0327;9696;12755;2703;1015;;0337;1049;0066;10143;11886;1379;24228;;;;
Anthranilic acid;;;;;;1808;;;2106;;5133;;2018;;;2739;1002;0061;;;;;;;;;;;;0327;;;;;;1157;;0578;5223;;;;;;;;0143;;0224;;;1628;;;;;;;0911;1202;;1989;;;;1341;;;;1093;0609;;;;;;;0356;;0364;;;;;;;;;;1018;;;;;;;;;1131;;;;;
Benzoic acid ;;;;;;;;;;1904;1205;;0669;;;;;1070;;0370;;0625;;;;0519;;;;0699;0551;0122;1661;4820;3929;0686;;;;;4393;3185;3095;;;1750;3429;;2565;7974;1771;1588;2889;2446;4030;4670;5038;2725;5268;4102;4035;2866;2431;3774;1185;4138;4388;4262;0740;2244;2932;3464;3351;5226;2642;1572;2417;2704;1312;3053;1736;6445;4294;4085;2224;3612;1751;2490;;;3160;;2949;1836;3384;3447;0787;;;;1112;4259;;4152
Caffeic acid;;;;;;;;;;;0188;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0264;;0080;;;;;;;;;0501;;;;;;;;;;;;;0428;;;;;;;;0110;;;;;;;;0791;;;;;;;;;;;;0145;;;;;;;0278;0683;
Camalexin ;24921;17719;26874;3138;5838;11106;7190;8794;24498;39924;3307;5158;20234;32884;142687;45800;20665;71999;3664;40463;48243;18737;59009;6474;;10826;4339;2886;25847;57356;27921;8379;15347;17697;12970;7254;16322;7630;5401;27883;4232;2676;18308;3276;4622;27726;5323;6028;22030;1075;4819;3883;22214;51287;29421;10504;24353;1322;3669;21007;7403;10546;5773;1983;0406;17799;3000;1327;6457;39740;82500;44753;0788;1165;0088;3770;15468;0900;0089;2716;1285;0663;7314;1027;16935;5105;12411;3410;6869;0524;2201;0805;38696;4643;5853;16874;6798;0272;269064;2650;8835;16313;14123;9559
Cinnamaldehyde ;0456;0176;0504;0306;0566;0341;0216;0151;5608;7057;2200;5510;3524;5232;5805;4586;0472;0283;0375;0836;0449;0270;0439;0791;;0490;1068;1143;0505;1597;0623;0396;1207;1170;0982;1192;1669;0895;1574;1065;1087;0408;0858;1195;1126;1123;0883;0510;0495;1380;0630;0425;0915;0853;1077;0341;0425;0170;0087;0324;0296;0629;0898;0391;0113;0173;0519;0836;0557;0829;0565;0693;1372;0807;0927;0661;1760;1053;0503;0530;0726;0635;0478;1324;0438;0378;0133;0542;1393;0577;0296;0717;0732;0391;0770;0417;0776;1324;0600;0741;0615;0248;0539;0289
Cinnamic acid (trans) ;;1577;3570;;2357;2345;;3426;2495;7325;5835;2593;3048;4062;3778;;5252;2715;0628;;;2459;4771;;;;1126;2769;1733;;4649;4716;;2134;3752;2591;0379;1526;4565;3423;3079;1841;3247;2054;2253;1862;3666;3258;4072;4689;3009;3151;2006;;4286;2017;;1978;3873;3369;1418;2904;3082;5122;3068;3076;2536;5743;;3608;0943;2958;3756;6689;4370;0982;;;;;1994;;3253;;0976;1793;1313;1785;1150;2509;3259;4746;2014;1100;3470;;1940;6080;4477;6563;2606;3861;;2275
Coniferyl aldehyde ;3785;10720;14313;6450;7130;13847;19416;15524;3121;;3338;3499;3477;4604;4673;4057;5972;14675;16665;5619;9692;18200;20204;16030;;6860;9870;3674;7449;15490;11965;17387;3940;12479;9598;2884;8745;3912;3337;3804;7604;4559;3209;8389;13118;21654;6856;19387;2591;12198;7992;4540;5986;6671;4558;4456;9011;;9214;25870;20494;19083;8370;15313;3853;2478;8459;17218;8064;13773;9229;8211;0936;21772;9312;7655;10874;28128;16422;26310;14985;13148;17729;13228;14511;17053;9149;34417;23288;22044;26807;17541;11763;28352;20749;22974;6872;21180;9431;20699;20207;20608;18397;30752
Coumaroyl agmatine ;717113;1665293;1080067;1575035;1261912;1952020;1364514;1651357;2177217;2986919;1128015;2759924;3453337;1411865;1844410;1406823;2191995;2628176;899427;2113348;824498;3383902;1509161;2608788;;934905;1196111;2562991;2309733;1413793;1385072;887442;1005200;2828099;2091269;2047512;1790126;1561136;2304372;2261827;615476;654600;1510437;2095995;1484102;1467549;1309063;2639215;1176274;1916257;6208236;2139132;2979643;2657282;3023514;2878482;2069286;1042715;1005733;907851;1998050;1413227;1506886;535645;480626;1130824;1921122;684768;1825374;1517875;1748771;887422;4605181;767473;1163055;1564660;4653506;1756189;346974;1586263;2283990;1559816;2276163;1241292;2101048;2229404;2113204;1123310;5534249;689321;2004539;1088352;4454871;1131596;1417795;831909;1375920;1029147;2381688;1314967;716921;1175118;4837817;1385057
Coumaroyl putrescine ;6275;11397;6262;7680;5066;13421;12030;6727;22578;31602;24292;20258;18877;16097;20072;18771;10308;6031;8369;6405;7067;11282;5911;15823;;7619;9231;9633;8361;9250;11082;10300;6335;8404;6266;5347;6405;6048;13790;5094;6324;7532;6816;12667;7423;7917;9861;9009;10857;14062;6288;9370;5468;9505;10872;12257;12050;12706;14608;11163;11574;13666;6649;14365;4063;11552;7781;11646;8067;9231;9114;7373;9928;14063;9132;10946;12681;14834;9433;8126;10623;8149;8097;8369;6124;9007;5361;7326;8601;8673;7374;7514;6953;6843;7188;5105;7970;4782;7236;10852;7974;5921;9012;7811
Coumaroylcholine ;0839;1681;1714;0912;0823;0574;0994;0651;3348;2513;3174;4128;3163;3834;6168;4987;0738;0996;0807;0746;0724;0443;1442;1394;;1222;1417;1024;0837;1749;1000;1790;2201;2623;0935;1196;2017;1956;5125;1737;1240;1408;1650;0489;0630;1252;1416;0783;1165;0481;1076;1111;0966;0989;1002;1474;1408;0794;0789;2179;0709;0899;1031;1056;0898;0789;1203;1347;0908;1240;0745;0420;2853;4781;3933;1725;1853;2305;1385;1482;3346;2847;2556;3874;0431;0841;0545;0961;2693;1482;1508;1008;0441;0724;0796;0748;2005;6396;2109;4254;0674;1277;0786;1031
Dihydrocamalexic acid ;16125;13157;15413;14968;17369;15584;16191;21649;13063;9666;14513;20652;15805;13773;10900;12160;13296;9425;13180;14263;15669;12707;13398;17469;;16343;13729;18587;17295;22647;16818;14448;15495;18108;14228;11539;14628;13273;15964;19697;11941;16105;16897;17654;15362;13539;19915;18301;17878;13300;11512;14761;9631;13614;21187;14158;11403;11170;9649;17214;10260;16764;15136;17015;6319;14010;11194;15246;16139;11427;14786;10813;22853;19471;18839;16877;25524;12790;15678;17539;17903;10530;11269;17054;15542;12554;10219;9499;12441;11637;14199;17225;10536;12246;12107;11278;22741;15452;15461;18965;11807;15259;16105;8125
Feruloyl malate ;0840;0202;0550;;0761;1778;0526;0814;6627;13693;24118;3605;2644;10602;11053;9151;0885;2150;;;;;;2907;;;2264;;0325;;;;1583;5500;0733;;;;4997;;0914;0813;2366;0736;;;2072;0833;2066;5453;;3359;0957;3936;4147;;1538;1531;5694;4549;;5236;;2880;2274;2218;2014;;1412;0812;;2024;2895;4758;1539;3120;;1039;;;1361;2552;3289;1660;;;0464;1588;1554;1427;1414;;;;;1463;;;;2771;;;;1590
Ferulic acid;3556;3685;4216;3397;8461;0528;2906;2063;2089;4911;3764;8106;2751;2947;5371;5115;6820;8070;6459;6001;8636;15065;5806;11769;;4349;7027;5528;8160;5211;7742;9420;7077;9559;7371;6288;4239;7016;8776;7835;5332;7022;8695;8695;10816;6739;6433;7396;7157;10504;10585;6976;5936;8555;16038;5334;12018;8318;8659;9713;10835;11045;5582;9056;4484;9474;9573;8639;7273;7812;10012;10024;5688;8504;6506;8842;12004;5715;7527;5138;8335;10107;7087;6871;7564;5952;4880;8160;6616;9187;5587;7792;7798;6073;7894;7086;10954;7983;5484;8724;7816;8006;8058;8582
Feruloyl agmatine ;16839;58036;32484;35086;44592;149774;87444;126397;33063;35481;5220;46177;28905;6198;23756;17076;57439;105389;43919;156090;47488;143712;53286;133669;;38375;72828;138636;74508;37528;42533;51461;65959;131596;91825;69508;65927;99692;88062;226752;29954;32817;66233;102454;59501;69799;49667;98376;63100;88500;440803;82034;172068;125285;121920;99868;79546;57324;54342;43552;97672;57306;54719;20366;30835;45564;133570;32912;86045;72033;56931;33090;219385;33252;49811;152958;542529;57538;13406;96672;134384;60315;154030;53240;79228;102039;79631;46164;255477;36798;77452;51315;217441;89049;86945;44997;73404;54583;122360;59544;41249;34687;172473;42605
Feruloyl putrescine ;4400;5674;3103;4130;4043;11350;8383;5623;610759;693507;1177611;627456;948654;1018098;681393;896580;15290;8965;5258;12195;8374;24199;5529;25159;;15552;12912;19952;14148;24705;13791;16045;9184;10735;9401;5585;11623;4790;22955;10089;10520;16285;13624;15736;12336;14088;12462;12262;19244;29007;28923;22934;14189;32600;23847;33400;20503;24056;30449;30937;13338;36449;7605;14484;15010;23588;18924;19897;12308;14525;10952;10908;9305;20220;9344;17225;13930;8921;7205;3552;7578;13093;14263;15968;3917;5949;4326;5058;18658;12703;14772;6541;3852;4466;7037;5033;13859;16874;12736;12858;4720;6585;6779;4915
Flavonol 1 ;14896908;19736876;17395889;14303072;16590172;22234267;26445174;18194809;25442361;31298814;55532186;33306255;28975498;39032342;29309655;38004529;16516694;16395609;16198806;13447793;22703350;23578508;20856776;26756520;;17317146;20975063;26159136;23306800;26821641;17675850;19825282;18401990;30235491;24514257;14149942;19300718;17867027;17587632;21711780;20108376;21242135;21908031;22659453;20714658;18466879;22895664;20266451;17482596;27934190;20598097;19444249;16640032;20928780;25273462;23835405;18732549;18465258;22902981;27300886;20244657;23867092;17273344;22058747;11580060;16596844;20322405;24568397;20869979;17999977;17877167;18194488;19819781;38958354;23572374;25598195;30729310;31196000;21161925;18369575;26067354;24721007;26116890;30597579;18844925;18396092;12219854;18973082;21668565;20397091;21207272;22064292;16670027;16236494;19024884;17383757;25813288;31090641;19054007;35557081;17966281;20476605;21136208;18663270
Flavonol 2 ;57450;91679;69031;57749;61910;95607;116752;70664;85951;103448;239069;144326;111474;144775;112172;151068;58507;66106;67855;52259;96660;92376;88442;111773;;69194;96035;123326;93176;117513;60632;81052;83458;138872;102020;50263;76037;64330;64859;92478;85016;100882;92441;94645;83061;69819;98765;86410;64417;123199;88277;75905;63972;86709;111149;98948;72003;80138;98672;132644;85874;98865;69432;100815;58022;65160;93655;118589;88427;74980;71061;95498;73817;214482;112608;115654;129681;145765;87086;81501;118826;119067;133124;151414;77134;71112;54849;92200;101204;89193;101247;101285;67728;72259;85309;75465;114915;158439;80270;188116;82784;90251;88906;88298
Flavonol 3 ;4739870;6198073;5318771;4410691;5162545;6905594;8229648;5438570;7913206;9707389;17479700;10339824;9403130;11975321;9251993;11687036;4981664;5041549;4915631;4039274;7061977;7189108;6316119;8065056;;5388156;6500078;8489474;7066062;8324162;5363868;5982489;5767048;9825189;7745276;4400057;5909212;5349766;5361053;6829317;6609586;7023689;6989640;7177053;6527636;5790251;7377041;6347268;5442164;9138943;6572486;6186427;5264709;6529038;8165519;7719351;5699101;6030438;7466142;9104794;6430851;7595988;5465927;7248557;3856513;5447343;6642946;8099169;6789851;5735468;5658713;5963804;6439491;13138563;7927268;8513552;10090560;10086970;6767629;5946307;8308381;8202435;8840844;10371241;6024229;5986072;4034028;6264492;7144507;6920572;7010206;7451127;5328928;5248579;6426825;5802627;8452973;10461279;5977465;12355902;5962046;6778029;6836058;6262712
Flavonol 4 ;8446978;10763893;9312344;7337651;9152147;13136535;15461160;11059384;10184982;11282446;26796753;13129168;10767372;16190623;10624052;15271605;8574403;9218807;9574449;7509567;13887672;12701106;12008265;14700003;;10089033;12894475;15861618;11842631;15077638;8722237;11266527;11038050;19322491;14214411;7696372;9992598;10051867;8796778;12782230;12255499;13337715;13549530;13590460;11417188;9836300;13364129;11746155;10233491;17541563;12688003;11859135;8667370;12477615;14237155;12710802;10571870;11003860;13248481;18262119;11540019;13185209;9651308;12139770;7096373;8877564;11774712;15402103;12340698;10268881;10039322;10600408;10367086;27210978;15585155;16868611;16894015;18734364;12927584;10080267;15801568;16006126;17475554;19226692;10598975;10134405;7533548;11202553;13137412;11325207;11877159;13035735;9791429;9638635;10684841;10083057;15737282;21259950;11692712;23939747;10807080;12209126;12142472;11022752
